2020-12-18 14:28:00,382 192.168.50.1 [background-preinit] INFO  [org.hibernate.validator.internal.util.Version] Version.java:21 - HV000001: Hibernate Validator 6.1.5.Final
2020-12-18 14:28:02,590 192.168.50.1 [main] INFO  [c.j.m.eurekaclient2.EurekaClient2Application] SpringApplication.java:655 - The following profiles are active: dev
2020-12-18 14:28:03,768 192.168.50.1 [main] INFO  [o.springframework.cloud.context.scope.GenericScope] GenericScope.java:295 - BeanFactory id=769ea0f9-919d-3c2d-8685-91084d9e5cc5
2020-12-18 14:28:04,150 192.168.50.1 [main] WARN  [io.undertow.websockets.jsr] Bootstrap.java:68 - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2020-12-18 14:28:04,180 192.168.50.1 [main] INFO  [io.undertow.servlet] ServletContextImpl.java:364 - Initializing Spring embedded WebApplicationContext
2020-12-18 14:28:04,180 192.168.50.1 [main] INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] ServletWebServerApplicationContext.java:285 - Root WebApplicationContext: initialization completed in 1560 ms
2020-12-18 14:28:04,640 192.168.50.1 [main] INFO  [com.zaxxer.hikari.HikariDataSource] HikariDataSource.java:110 - gxHikari - Starting...
2020-12-18 14:28:04,949 192.168.50.1 [main] INFO  [com.zaxxer.hikari.pool.PoolBase] PoolBase.java:535 - gxHikari - Driver does not support get/set network timeout for connections. (oracle.jdbc.driver.T4CConnection.getNetworkTimeout()I)
2020-12-18 14:28:05,063 192.168.50.1 [main] INFO  [com.zaxxer.hikari.HikariDataSource] HikariDataSource.java:123 - gxHikari - Start completed.
2020-12-18 14:28:05,433 192.168.50.1 [main] WARN  [com.netflix.config.sources.URLConfigurationSource] URLConfigurationSource.java:121 - No URLs will be polled as dynamic configuration sources.
2020-12-18 14:28:05,433 192.168.50.1 [main] INFO  [com.netflix.config.sources.URLConfigurationSource] URLConfigurationSource.java:122 - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-12-18 14:28:05,443 192.168.50.1 [main] WARN  [com.netflix.config.sources.URLConfigurationSource] URLConfigurationSource.java:121 - No URLs will be polled as dynamic configuration sources.
2020-12-18 14:28:05,443 192.168.50.1 [main] INFO  [com.netflix.config.sources.URLConfigurationSource] URLConfigurationSource.java:122 - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-12-18 14:28:05,681 192.168.50.1 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:181 - Initializing ExecutorService 'applicationTaskExecutor'
2020-12-18 14:28:07,306 192.168.50.1 [main] INFO  [o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration] DiscoveryClientOptionalArgsConfiguration.java:78 - Eureka HTTP Client uses Jersey
2020-12-18 14:28:08,639 192.168.50.1 [main] WARN  [o.s.c.l.c.BlockingLoadBalancerClientAutoConfiguration$BlockingLoadBalancerClientRibbonWarnLogger] BlockingLoadBalancerClientAutoConfiguration.java:86 - You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
2020-12-18 14:28:08,719 192.168.50.1 [main] INFO  [o.s.cloud.netflix.eureka.InstanceInfoFactory] InstanceInfoFactory.java:72 - Setting initial instance status as: STARTING
2020-12-18 14:28:08,769 192.168.50.1 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:371 - Initializing Eureka in region us-east-1
2020-12-18 14:28:08,996 192.168.50.1 [main] INFO  [c.n.discovery.provider.DiscoveryJerseyProvider] DiscoveryJerseyProvider.java:70 - Using JSON encoding codec LegacyJacksonJson
2020-12-18 14:28:08,996 192.168.50.1 [main] INFO  [c.n.discovery.provider.DiscoveryJerseyProvider] DiscoveryJerseyProvider.java:71 - Using JSON decoding codec LegacyJacksonJson
2020-12-18 14:28:09,156 192.168.50.1 [main] INFO  [c.n.discovery.provider.DiscoveryJerseyProvider] DiscoveryJerseyProvider.java:80 - Using XML encoding codec XStreamXml
2020-12-18 14:28:09,156 192.168.50.1 [main] INFO  [c.n.discovery.provider.DiscoveryJerseyProvider] DiscoveryJerseyProvider.java:81 - Using XML decoding codec XStreamXml
2020-12-18 14:28:09,413 192.168.50.1 [main] INFO  [c.n.d.shared.resolver.aws.ConfigClusterResolver] ConfigClusterResolver.java:43 - Resolving eureka endpoints via configuration
2020-12-18 14:28:10,290 192.168.50.1 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:1004 - Disable delta property : false
2020-12-18 14:28:10,290 192.168.50.1 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:1005 - Single vip registry refresh property : null
2020-12-18 14:28:10,290 192.168.50.1 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:1006 - Force full registry fetch : false
2020-12-18 14:28:10,290 192.168.50.1 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:1007 - Application is null : false
2020-12-18 14:28:10,290 192.168.50.1 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:1008 - Registered Applications size is zero : true
2020-12-18 14:28:10,290 192.168.50.1 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:1010 - Application version is -1: true
2020-12-18 14:28:10,300 192.168.50.1 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:1093 - Getting all instance registry info from the eureka server
2020-12-18 14:28:10,680 192.168.50.1 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:1102 - The response status is 200
2020-12-18 14:28:10,680 192.168.50.1 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:1317 - Starting heartbeat executor: renew interval is: 30
2020-12-18 14:28:10,690 192.168.50.1 [main] INFO  [com.netflix.discovery.InstanceInfoReplicator] InstanceInfoReplicator.java:60 - InstanceInfoReplicator onDemand update allowed rate per min is 4
2020-12-18 14:28:10,690 192.168.50.1 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:491 - Discovery Client initialized at timestamp 1608272890690 with initial instances count: 1
2020-12-18 14:28:10,700 192.168.50.1 [main] INFO  [o.s.c.n.e.serviceregistry.EurekaServiceRegistry] EurekaServiceRegistry.java:41 - Registering application EUREKA-CLIENT2 with eureka with status UP
2020-12-18 14:28:10,700 192.168.50.1 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:1353 - Saw local status change event StatusChangeEvent [timestamp=1608272890700, current=UP, previous=STARTING]
2020-12-18 14:28:10,700 192.168.50.1 [DiscoveryClient-InstanceInfoReplicator-0] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:870 - DiscoveryClient_EUREKA-CLIENT2/JINHAI:eureka-client2:1045: registering service...
2020-12-18 14:28:10,720 192.168.50.1 [main] INFO  [io.undertow] Undertow.java:117 - starting server: Undertow - 2.1.4.Final
2020-12-18 14:28:10,730 192.168.50.1 [main] INFO  [org.xnio] Xnio.java:95 - XNIO version 3.8.0.Final
2020-12-18 14:28:10,740 192.168.50.1 [main] INFO  [org.xnio.nio] NioXnio.java:59 - XNIO NIO Implementation Version 3.8.0.Final
2020-12-18 14:28:10,770 192.168.50.1 [DiscoveryClient-InstanceInfoReplicator-0] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:879 - DiscoveryClient_EUREKA-CLIENT2/JINHAI:eureka-client2:1045 - registration status: 204
2020-12-18 14:28:10,800 192.168.50.1 [main] INFO  [org.jboss.threads] Version.java:52 - JBoss Threads version 3.1.0.Final
2020-12-18 14:28:10,870 192.168.50.1 [main] INFO  [o.s.boot.web.embedded.undertow.UndertowWebServer] UndertowWebServer.java:133 - Undertow started on port(s) 1045 (http)
2020-12-18 14:28:10,870 192.168.50.1 [main] INFO  [o.s.c.n.e.s.EurekaAutoServiceRegistration] EurekaAutoServiceRegistration.java:145 - Updating port to 1045
2020-12-18 14:28:12,209 192.168.50.1 [main] INFO  [c.j.m.eurekaclient2.EurekaClient2Application] StartupInfoLogger.java:61 - Started EurekaClient2Application in 13.935 seconds (JVM running for 17.123)
2020-12-18 14:33:10,304 192.168.50.1 [AsyncResolver-bootstrap-executor-0] INFO  [c.n.d.shared.resolver.aws.ConfigClusterResolver] ConfigClusterResolver.java:43 - Resolving eureka endpoints via configuration
2020-12-18 14:35:20,713 192.168.50.1 [XNIO-1 task-1] INFO  [io.undertow.servlet] ServletContextImpl.java:364 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-12-18 14:35:20,713 192.168.50.1 [XNIO-1 task-1] INFO  [org.springframework.web.servlet.DispatcherServlet] FrameworkServlet.java:525 - Initializing Servlet 'dispatcherServlet'
2020-12-18 14:35:20,723 192.168.50.1 [XNIO-1 task-1] INFO  [org.springframework.web.servlet.DispatcherServlet] FrameworkServlet.java:547 - Completed initialization in 10 ms
2020-12-18 14:36:08,593 192.168.50.1 [gxHikari housekeeper] WARN  [com.zaxxer.hikari.pool.HikariPool] HikariPool.java:787 - gxHikari - Thread starvation or clock leap detected (housekeeper delta=1m3s381ms630µs600ns).
2020-12-18 14:36:39,694 192.168.50.1 [XNIO-1 task-2] DEBUG [c.j.m.e.mapper.GxQxfwjkMapper.selectOne] BaseJdbcLogger.java:143 - ==>  Preparing: SELECT id,servicecode,pqxdm,pqxmc,qxdm,qxmc,fwzt,qqqssj,qqjssj,bz FROM gx_qxfw_jk WHERE QXDM = ? 
2020-12-18 14:36:39,824 192.168.50.1 [XNIO-1 task-2] DEBUG [c.j.m.e.mapper.GxQxfwjkMapper.selectOne] BaseJdbcLogger.java:143 - ==> Parameters: 999d4341-4606-4c87-a523-e48e01e7debb(String)
2020-12-18 14:36:39,874 192.168.50.1 [XNIO-1 task-2] DEBUG [c.j.m.e.mapper.GxQxfwjkMapper.selectOne] BaseJdbcLogger.java:143 - <==      Total: 0
2020-12-18 14:44:32,418 192.168.50.1 [gxHikari housekeeper] WARN  [com.zaxxer.hikari.pool.HikariPool] HikariPool.java:787 - gxHikari - Thread starvation or clock leap detected (housekeeper delta=7m53s807ms520µs900ns).
2020-12-18 14:44:32,418 192.168.50.1 [AsyncResolver-bootstrap-executor-0] INFO  [c.n.d.shared.resolver.aws.ConfigClusterResolver] ConfigClusterResolver.java:43 - Resolving eureka endpoints via configuration
2020-12-18 14:44:32,498 192.168.50.1 [DiscoveryClient-HeartbeatExecutor-0] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:894 - DiscoveryClient_EUREKA-CLIENT2/JINHAI:eureka-client2:1045 - Re-registering apps/EUREKA-CLIENT2
2020-12-18 14:44:35,744 192.168.50.1 [DiscoveryClient-HeartbeatExecutor-0] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:870 - DiscoveryClient_EUREKA-CLIENT2/JINHAI:eureka-client2:1045: registering service...
2020-12-18 14:44:35,744 192.168.50.1 [XNIO-1 task-1] DEBUG [c.j.m.e.mapper.GxQxfwjkMapper.selectOne] BaseJdbcLogger.java:143 - ==>  Preparing: SELECT id,servicecode,pqxdm,pqxmc,qxdm,qxmc,fwzt,qqqssj,qqjssj,bz FROM gx_qxfw_jk WHERE QXDM = ? 
2020-12-18 14:44:35,744 192.168.50.1 [XNIO-1 task-1] DEBUG [c.j.m.e.mapper.GxQxfwjkMapper.selectOne] BaseJdbcLogger.java:143 - ==> Parameters: 999d4341-4606-4c87-a523-e48e01e7debb(String)
2020-12-18 14:44:35,754 192.168.50.1 [XNIO-1 task-1] DEBUG [c.j.m.e.mapper.GxQxfwjkMapper.selectOne] BaseJdbcLogger.java:143 - <==      Total: 0
2020-12-18 14:44:35,754 192.168.50.1 [DiscoveryClient-HeartbeatExecutor-0] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:879 - DiscoveryClient_EUREKA-CLIENT2/JINHAI:eureka-client2:1045 - registration status: 204
2020-12-18 14:44:43,748 192.168.50.1 [XNIO-1 task-2] DEBUG [c.j.m.e.mapper.GxQxfwjkMapper.selectOne] BaseJdbcLogger.java:143 - ==>  Preparing: SELECT id,servicecode,pqxdm,pqxmc,qxdm,qxmc,fwzt,qqqssj,qqjssj,bz FROM gx_qxfw_jk WHERE QXDM = ? 
2020-12-18 14:44:43,750 192.168.50.1 [XNIO-1 task-2] DEBUG [c.j.m.e.mapper.GxQxfwjkMapper.selectOne] BaseJdbcLogger.java:143 - ==> Parameters: 9686c0df-bee3-4ff9-9dbd-ed58827b859b(String)
2020-12-18 14:44:43,752 192.168.50.1 [XNIO-1 task-2] DEBUG [c.j.m.e.mapper.GxQxfwjkMapper.selectOne] BaseJdbcLogger.java:143 - <==      Total: 0
